epoch_utc,mp_ra,mp_dec
1741540140,5.41710733676667,-0.390529556431836
1741540200,5.41726828574896,-0.39047997217112
1741540260,5.41742922613463,-0.390430379284255
1741540320,5.41759015792403,-0.390380777773166
1741540380,5.41775108111756,-0.390331167639778
1741540440,5.41791199571557,-0.390281548886012
1741540500,5.41807290171844,-0.390231921513794
1741540560,5.41823379912656,-0.390182285525048
1741540620,5.41839468794028,-0.390132640921699
1741540680,5.41855556815999,-0.390082987705667
1741540740,5.41871643978605,-0.39003332587888
1741540800,5.41887730281885,-0.389983655443257
1741540860,5.41903815725878,-0.389933976400725
1741540920,5.41919900310618,-0.389884288753207
1741540980,5.41935984036147,-0.389834592502625
1741541040,5.419520669025,-0.389784887650901
1741541100,5.41968148909717,-0.389735174199959
1741541160,5.41984230057833,-0.389685452151724
1741541220,5.4200031034689,-0.389635721508118
1741541280,5.42016389776924,-0.389585982271061
1741541340,5.42032468347974,-0.389536234442479
1741541400,5.42048546060077,-0.389486478024293
1741541460,5.42064622913273,-0.389436713018425
1741541520,5.420806989076,-0.389386939426799
1741541580,5.42096774043095,-0.389337157251334
1741541640,5.42112848319798,-0.389287366493958
1741541700,5.42128921737749,-0.389237567156587
1741541760,5.42144994296985,-0.389187759241147
1741541820,5.42161065997543,-0.389137942749557
1741541880,5.42177136839466,-0.38908811768374
1741541940,5.42193206822791,-0.389038284045618
1741542000,5.42209275947556,-0.388988441837112
1741542060,5.42225344213801,-0.388938591060146
1741542120,5.42241411621563,-0.388888731716636
1741542180,5.42257478170885,-0.388838863808509
1741542240,5.42273543861804,-0.388788987337682
1741542300,5.42289608694359,-0.38873910230608
1741542360,5.42305672668591,-0.38868920871562
1741542420,5.42321735784538,-0.388639306568225
1741542480,5.42337798042241,-0.388589395865815
1741542540,5.42353859441739,-0.388539476610311
1741542600,5.42369919983069,-0.388489548803635
1741542660,5.42385979666274,-0.388439612447704
1741542720,5.42402038491392,-0.388389667544442
1741542780,5.42418096458465,-0.388339714095767
1741542840,5.42434153567529,-0.388289752103601
1741542900,5.42450209818629,-0.388239781569863
1741542960,5.42466265211801,-0.388189802496473
1741543020,5.42482319747087,-0.38813981488535
1741543080,5.42498373424527,-0.388089818738417
1741543140,5.42514426244161,-0.388039814057589
1741543200,5.42530478206028,-0.38798980084479
1741543260,5.42546529310171,-0.387939779101936
1741543320,5.42562579556629,-0.387889748830948
1741543380,5.42578628945441,-0.387839710033748
1741543440,5.42594677476651,-0.387789662712249
